playTime,frequency
1,3
2,34
3,54
4,91
5,97
6,78
7,67
8,60
9,72
10,44
11,42
12,38
13,36
14,25
15,35
16,25
17,18
18,14
19,18
20,21
21,15
22,11
23,9
24,14
25,7
26,7
27,8
28,5
29,7
30,5
31,3
32,2
33,3
34,3
35,7
36,3
37,1
38,3
39,1
40,3
41,1
42,1
43,1
45,2
47,1
49,1
50,1
53,1
58,1
73,1
